GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,B25075_026E,B25075_026M,B25075_027E,B25075_027M,Unnamed: 56,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more",,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0100000US,United States,75022569,227992,1021239,17427,559146,10562,510633,9259,551250,10889,498424,9088,617388,12456,475525,11468,1216199,17626,1539615,18269,1791841,21381,2028732,23113,2410556,24738,2022917,21338,5485921,40800,5121498,39785,6353838,43924,4514369,34067,7973867,47050,6462218,39265,8734811,47849,4952822,32720,5651174,32370,2237096,20327,1211844,14409,447209,8179,632437,11335,,205000,467
0500000US01003,"Baldwin County, Alabama",56144,2831,826,544,480,368,304,181,193,174,249,193,815,477,218,143,482,399,1030,502,833,435,760,449,1741,808,984,568,5076,1391,4368,1102,6747,1396,5277,1163,7849,1757,4878,1411,6983,1333,2803,764,1339,465,1223,506,305,207,43,71,338,317,,189100,7937
0500000US01015,"Calhoun County, Alabama",29321,1746,814,477,455,274,499,337,344,286,519,413,521,363,513,277,773,375,1214,484,1407,582,2315,552,2181,617,1313,530,2869,803,2394,675,3509,765,1464,627,2049,580,1742,659,946,470,549,369,473,297,200,203,217,173,0,195,41,70,,115600,10523
0500000US01043,"Cullman County, Alabama",23306,1387,827,503,229,260,121,140,258,193,54,78,173,148,113,101,766,445,823,475,1416,581,730,438,1972,571,867,447,2732,666,1762,561,2025,735,2412,769,2105,657,1199,448,1151,463,865,386,395,312,202,199,28,51,19,32,62,107,,133100,15400
0500000US01049,"DeKalb County, Alabama",18185,1270,1047,554,392,326,182,189,663,616,530,517,410,275,260,197,698,468,475,264,1235,614,1080,444,1286,544,716,330,1838,509,1982,623,1075,431,963,418,1471,485,551,386,973,596,31,40,179,221,70,92,0,195,0,195,78,78,,101600,12178
0500000US01051,"Elmore County, Alabama",20862,1438,594,436,157,173,253,178,81,137,47,57,282,294,133,154,81,123,63,113,302,228,760,403,716,338,614,346,2790,825,2139,779,1693,541,1998,857,2788,821,1635,659,2119,622,799,421,641,346,91,104,86,110,0,195,0,195,,171000,16594
0500000US01055,"Etowah County, Alabama",27766,1670,488,310,665,513,369,220,266,182,446,207,1182,533,724,393,1437,438,1428,655,1538,564,1218,471,1882,743,862,397,3676,946,2515,727,2141,800,1750,687,2181,763,600,280,1601,559,152,193,485,423,138,111,0,195,0,195,22,38,,109400,7779
0500000US01069,"Houston County, Alabama",25239,834,412,122,263,115,161,126,408,325,268,116,488,220,614,320,767,255,1023,321,909,216,1350,297,1623,334,1317,348,2827,423,2605,521,2007,320,1546,330,2439,470,1775,521,1310,329,345,166,543,248,146,80,50,42,18,21,25,28,,126800,6243
0500000US01073,"Jefferson County, Alabama",164444,4205,1842,600,1260,621,1087,482,804,329,1053,526,1940,709,1526,600,4374,1087,4933,924,8237,1552,10338,1548,7944,1390,6343,1055,16795,2086,12387,1801,16782,1826,7763,1032,15755,1799,12267,1607,13270,1702,7131,1204,6200,1165,1965,470,1284,495,438,293,726,383,,152000,4068
0500000US01077,"Lauderdale County, Alabama",26444,1668,609,425,214,269,281,267,196,225,466,337,48,79,515,291,515,298,322,243,845,345,1661,585,1616,651,929,357,3485,887,2648,822,2419,785,2239,764,2701,675,2117,532,1400,467,621,386,208,189,283,214,34,46,0,195,72,124,,139400,11551
0500000US01081,"Lee County, Alabama",34720,2259,1274,633,538,302,578,384,627,370,289,286,325,357,50,84,497,336,329,293,1416,637,1684,845,1025,604,999,523,3210,811,2465,870,3834,992,1731,712,4216,1126,3108,986,3555,988,970,489,1418,614,513,317,0,195,0,195,69,120,,163400,9987
0500000US01083,"Limestone County, Alabama",23032,1402,1008,634,268,240,461,427,50,90,42,85,257,246,153,176,271,378,674,366,829,397,913,440,1045,438,1096,507,1503,515,2793,724,2490,675,1499,520,2044,712,2129,579,1793,719,1232,514,419,379,29,52,34,51,0,195,0,195,,151500,12340
0500000US01089,"Madison County, Alabama",97908,3145,822,576,687,345,488,359,1144,734,492,306,571,410,388,432,1732,625,1767,665,2204,639,3880,1125,3604,857,2107,662,9466,1698,9035,1587,9587,1757,7701,1113,10934,1949,11353,1555,11959,1831,2913,834,3289,905,656,319,544,305,239,151,346,329,,178200,8024
0500000US01095,"Marshall County, Alabama",23374,1560,713,411,238,174,315,215,349,273,358,359,246,236,285,211,369,206,922,412,1295,876,1899,623,1066,376,1135,482,2877,770,2042,568,2254,630,1042,438,2623,800,863,360,1479,552,435,275,343,209,155,178,0,195,58,98,13,17,,121700,9939
0500000US01097,"Mobile County, Alabama",103022,3018,1823,725,476,290,1179,548,417,235,1031,379,1216,455,2202,674,3576,1040,4615,1143,3671,807,4934,1011,6042,992,5259,1094,14122,1677,13113,1461,12201,1506,5700,1181,8142,1563,5097,961,3370,954,1608,480,1925,625,557,312,560,317,104,100,82,98,,126800,4312
0500000US01101,"Montgomery County, Alabama",53027,2777,572,324,959,461,404,349,507,246,136,137,558,297,836,468,1256,446,2526,740,3017,815,2581,825,3725,1002,3781,1145,5451,999,5168,1032,4607,1117,2738,703,3092,743,2794,905,4176,824,1829,712,1256,392,499,260,368,236,41,70,150,130,,126000,6990
0500000US01103,"Morgan County, Alabama",34361,1853,768,514,155,154,495,446,840,656,402,396,501,405,290,188,602,463,1768,811,1836,644,2482,728,1799,548,1356,515,4126,891,3255,666,4187,978,1745,667,3117,861,1557,524,2270,729,206,162,398,235,132,114,74,88,0,195,0,195,,123500,10168
0500000US01115,"St. Clair County, Alabama",26735,1627,188,159,351,264,57,97,122,212,507,463,550,497,189,324,925,555,1713,654,837,514,919,425,538,534,133,120,1772,633,3678,936,3837,1025,1524,721,4286,1239,1495,731,2197,733,455,285,409,388,0,195,53,88,0,195,0,195,,155800,8786
0500000US01117,"Shelby County, Alabama",60642,1923,789,432,313,300,393,279,295,209,120,153,169,142,226,183,406,288,383,221,714,401,654,363,864,439,1672,578,3610,874,6488,1115,7841,1224,5568,990,8643,1164,6240,1001,7674,1085,3375,922,2926,768,490,246,523,318,0,195,266,262,,199200,8054
0500000US01121,"Talladega County, Alabama",24302,1474,1870,719,752,395,612,502,517,460,863,410,511,334,552,386,1070,536,709,458,1137,562,1622,595,1507,642,828,374,2859,970,2256,791,2191,778,575,262,1074,393,1717,754,707,304,179,156,36,65,113,131,0,195,45,76,0,195,,95200,14025
0500000US01125,"Tuscaloosa County, Alabama",45372,2128,1685,590,334,251,456,380,265,175,31,56,398,291,143,128,653,318,714,412,981,457,1229,563,1804,901,1136,514,3205,881,5137,1094,6168,1066,3902,1015,5580,1074,4109,894,3580,830,1589,645,1225,500,814,346,184,134,50,59,0,195,,168300,5921
0500000US01127,"Walker County, Alabama",18851,1324,1158,548,575,312,554,305,755,356,240,198,368,260,145,146,926,416,996,465,1238,463,1057,548,1547,536,518,262,1924,621,2062,686,1585,622,374,244,728,366,695,376,789,441,239,237,168,168,186,273,24,41,0,195,0,195,,89100,12139
0500000US02020,"Anchorage Municipality, Alaska",64320,2628,433,257,0,155,695,452,613,472,506,463,42,69,343,363,609,474,353,366,41,69,282,366,202,188,0,155,751,342,2045,762,1978,711,2133,765,8912,1419,8561,1629,17624,1870,8135,1114,8108,1503,1502,541,300,235,24,39,128,186,,320800,9363
0500000US02090,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226900,13269
0500000US02170,"Matanuska-Susitna Borough, Alaska",23092,768,136,109,91,112,7,14,144,133,161,164,165,123,61,60,444,224,246,157,302,192,168,121,284,144,255,166,758,245,746,308,1633,447,1347,436,5163,629,3165,627,4614,750,2098,532,736,323,232,185,75,128,0,155,61,99,,244500,7979
0500000US04001,"Apache County, Arizona",15698,963,1312,367,134,103,354,185,722,170,917,264,443,240,129,78,1094,325,1017,259,1201,309,1912,403,1026,301,206,142,1256,453,709,364,433,253,440,309,1239,433,600,319,319,234,38,44,47,73,150,82,0,204,0,204,0,204,,72800,3127
0500000US04003,"Cochise County, Arizona",33179,1669,886,380,394,225,254,199,377,208,493,304,649,343,624,419,683,312,1107,508,1131,459,1771,692,1730,529,1712,586,4138,964,3156,776,4487,1027,2009,618,2593,771,2413,680,1676,559,509,319,108,133,139,145,140,159,0,204,0,204,,130100,10544
0500000US04005,"Coconino County, Arizona",28464,1604,1278,570,617,265,690,290,811,315,157,133,410,200,67,63,135,105,613,201,701,317,407,214,490,332,228,177,750,396,247,209,947,454,1289,404,3241,820,2627,701,5302,1199,3323,847,3158,896,604,369,257,200,0,204,115,142,,272000,21020
0500000US04013,"Maricopa County, Arizona",920114,9029,14149,1670,6482,1016,5748,924,3964,838,2881,831,3070,672,3071,765,5449,1105,7201,1121,10566,1632,7885,1253,14796,1586,12961,1389,43973,3350,49815,2780,89358,4270,68140,4033,140689,6298,116753,5002,138983,5423,72993,3739,60037,3478,21000,2142,10457,1384,3891,1208,5802,878,,239300,2268
0500000US04015,"Mohave County, Arizona",58167,2949,620,536,202,150,682,395,1026,613,964,477,1342,590,653,415,2699,1029,1632,601,1343,572,2310,608,2377,690,2690,803,5237,1377,5596,1248,5806,1227,4055,882,6878,1386,4842,971,3684,966,1693,566,1232,465,269,196,335,232,0,204,0,204,,148700,7809
0500000US04017,"Navajo County, Arizona",23358,1352,1061,336,509,253,570,345,442,218,306,202,728,311,151,102,718,426,1803,449,1327,455,1359,516,1766,379,1077,505,1766,498,1323,519,1918,523,980,411,1787,524,1191,512,1551,600,237,177,566,314,94,119,89,96,0,204,39,50,,98700,10153
0500000US04019,"Pima County, Arizona",251474,5470,7657,1587,2867,747,2269,753,2821,1003,1414,482,1573,715,907,425,4320,970,4313,886,5869,1072,5541,1154,9086,1526,7823,1089,24040,2383,21081,2203,29734,2446,18794,1824,29858,2553,20740,1837,25244,2026,9623,1145,9417,1366,3805,871,1679,590,249,174,750,365,,170300,2950
0500000US04021,"Pinal County, Arizona",100589,3136,2641,795,1433,546,1022,468,2279,715,622,367,1041,483,1254,610,2531,978,2446,796,2978,867,1623,688,4089,1013,1761,599,7681,1564,9039,1469,12061,1544,11303,1864,12747,1815,7845,1467,8244,1630,3770,1025,1398,564,353,238,393,430,0,204,35,56,,166300,5247
0500000US04025,"Yavapai County, Arizona",69791,3002,596,461,285,362,729,449,472,313,555,445,823,836,693,449,469,278,912,586,857,455,909,554,1374,612,1970,938,3146,875,5054,1192,6656,1467,4750,980,8445,1229,7188,1467,9559,1448,6740,1505,5816,1288,1299,516,367,246,0,204,127,153,,227500,12368
0500000US04027,"Yuma County, Arizona",49974,2135,2588,794,628,344,458,252,1332,540,608,313,945,446,623,299,1026,460,1433,497,1532,594,1249,441,2916,783,2537,701,7638,1041,5065,1214,6187,1308,2827,753,4089,944,2494,739,2257,723,1003,541,311,214,51,60,0,204,84,146,93,107,,123300,5254
0500000US05007,"Benton County, Arkansas",62840,2362,426,254,49,74,94,101,400,336,236,252,243,237,135,108,858,538,961,404,1129,523,1370,596,2070,663,1816,565,7917,1129,7585,999,7589,1198,4431,925,8110,1289,4924,884,6496,1095,2634,653,2376,578,688,393,258,188,0,197,45,74,,170200,4797
0500000US05031,"Craighead County, Arkansas",21589,1618,99,124,281,244,95,102,184,183,134,145,570,445,466,463,660,438,929,541,655,356,767,369,1208,515,860,387,2778,832,2674,854,3244,740,1691,622,1254,635,960,528,757,433,647,551,301,251,136,181,154,180,0,197,85,144,,135400,10117
0500000US05045,"Faulkner County, Arkansas",26698,1258,114,141,62,75,74,89,303,198,19,32,185,158,274,187,302,221,710,475,402,338,917,387,985,465,594,353,3758,905,3059,836,4011,982,2267,669,3229,890,2520,769,1901,624,441,336,463,343,0,197,68,83,0,197,40,70,,159900,6552
0500000US05051,"Garland County, Arkansas",26135,1781,1267,585,65,126,353,290,151,133,632,575,343,328,245,183,347,244,812,504,611,304,1238,613,1376,625,1044,562,2828,674,2488,777,2409,828,1928,883,2543,725,2134,854,2070,747,452,290,469,323,258,236,0,197,72,122,0,197,,142600,13177
0500000US05069,"Jefferson County, Arkansas",15814,1143,289,206,215,138,335,274,329,290,329,243,825,349,302,246,1475,611,792,355,888,460,1448,512,855,475,467,289,1614,604,1473,493,1288,427,996,511,1061,550,572,335,52,89,59,90,111,128,0,197,0,197,39,63,0,197,,88000,12099
0500000US05085,"Lonoke County, Arkansas",18007,1363,358,276,215,209,31,58,177,157,23,39,44,82,29,52,273,173,177,233,738,436,968,511,1062,521,714,339,3048,916,2395,796,2017,623,838,356,3147,792,825,370,641,335,252,250,35,59,0,197,0,197,0,197,0,197,,137000,10045
0500000US05119,"Pulaski County, Arkansas",90571,3051,652,361,1148,587,503,341,698,377,1082,518,463,324,243,180,1511,536,3059,992,3279,818,3287,871,5419,878,4187,1068,9774,1607,8636,1395,8745,1558,7601,1393,9863,1612,6120,1278,6249,1041,3627,1024,2047,664,1092,505,889,455,93,100,304,234,,153800,6195
0500000US05125,"Saline County, Arkansas",34549,1768,519,302,659,526,178,173,155,176,645,444,89,112,66,87,674,481,1670,811,716,367,884,466,1577,670,1041,497,4017,929,3711,927,4081,1048,3267,881,3173,763,2931,1156,2284,676,930,460,932,469,103,116,0,197,178,212,69,119,,154100,9409
0500000US05131,"Sebastian County, Arkansas",29804,1705,369,286,141,173,84,114,208,196,164,134,104,136,339,395,1324,496,1846,744,2034,684,1571,595,2931,946,2010,622,3726,898,2238,666,3247,783,1142,541,2783,936,1219,522,770,553,337,322,877,502,41,67,69,123,91,149,139,122,,111900,9431
0500000US05143,"Washington County, Arkansas",44050,2519,442,240,126,132,153,155,147,180,155,163,152,220,137,144,533,340,911,482,1419,577,1122,436,1724,535,954,453,5100,1147,5036,1366,5405,1362,3630,1001,4900,1067,3254,937,4747,1037,1872,810,1453,471,617,383,0,197,42,76,19,32,,168100,7668
0500000US05145,"White County, Arkansas",17640,1331,59,49,346,306,63,67,198,185,128,160,485,277,305,207,682,472,1040,504,588,313,977,571,1524,720,811,419,2332,653,1890,709,1715,664,807,467,1259,422,1189,689,687,459,361,272,99,142,95,171,0,197,0,197,0,197,,117300,10104
0500000US06001,"Alameda County, California",298896,4629,1582,577,98,98,115,118,149,176,0,206,236,200,143,149,288,194,1395,519,798,360,856,389,916,409,292,194,1904,647,1400,614,1213,566,1053,472,4384,809,5463,1207,17520,1658,29217,2336,94134,4024,74181,3451,42189,2483,11442,1350,7928,1053,,713600,10202
0500000US06007,"Butte County, California",50565,2568,703,434,372,289,705,361,305,242,871,453,331,223,52,42,434,263,775,494,469,447,680,384,696,368,603,334,2217,632,2117,730,3263,648,3060,817,6761,1201,6638,1093,9873,1398,4673,1087,3553,894,752,413,461,408,30,53,171,137,,256500,11171
0500000US06013,"Contra Costa County, California",250470,5469,1622,536,46,79,273,237,461,284,664,413,526,535,373,287,650,378,1138,556,821,503,223,193,663,411,631,405,1595,586,829,461,2215,686,2020,891,7210,1332,10179,1272,36116,2551,38760,2936,59137,3734,35863,2572,30489,2124,11498,1507,6468,1082,,577000,12968
0500000US06017,"El Dorado County, California",52217,2373,323,259,260,325,173,144,299,321,68,114,83,141,79,128,234,211,352,440,81,136,0,206,42,70,23,39,573,282,846,394,1060,439,981,548,2782,746,4480,1072,11176,1442,8193,1125,15280,1542,2992,640,1040,427,388,450,409,291,,426800,17953
0500000US06019,"Fresno County, California",160427,4222,1304,442,958,578,769,550,817,365,421,258,464,280,328,212,653,405,1245,400,1378,592,2140,706,2349,673,3073,794,10903,1584,9225,1422,14095,1791,11568,1804,24313,2488,23019,2337,25443,1978,12069,1748,9317,1374,2217,704,1028,461,497,400,834,327,,238100,4477
0500000US06023,"Humboldt County, California",31645,1719,528,471,370,299,238,278,305,218,96,144,60,86,330,309,135,132,229,283,291,217,65,72,368,345,44,75,412,234,601,505,1136,620,1146,485,4349,960,5297,1189,7936,1296,2898,724,3304,736,899,375,305,221,79,97,224,255,,298300,14737
0500000US06025,"Imperial County, California",27250,2220,736,441,227,248,60,107,204,243,200,199,136,102,270,208,293,240,282,229,233,210,407,342,1562,707,518,291,2799,818,2403,616,3937,866,1991,726,3946,848,3492,992,2056,697,819,340,499,312,111,165,33,55,0,206,36,62,,170900,6871
0500000US06029,"Kern County, California",154029,4145,1888,834,1742,542,1209,459,1128,618,611,347,946,441,713,498,1344,635,1593,477,2603,767,2494,662,5193,1316,2187,647,10557,2037,9020,1817,19629,2205,11968,1651,26101,2968,19345,2131,18959,2324,6964,1126,4089,912,2076,783,599,334,272,194,799,556,,204200,6222
0500000US06031,"Kings County, California",20964,1524,147,128,80,131,138,150,93,149,0,206,165,182,59,98,53,89,0,206,147,180,75,90,549,340,149,111,2019,606,2326,707,3344,962,1833,688,3825,931,2994,713,1461,450,461,270,537,315,305,245,152,129,52,77,0,206,,190500,12569
0500000US06033,"Lake County, California",14713,1634,465,334,141,157,226,227,97,141,322,285,175,216,0,206,191,219,274,217,233,319,452,320,662,577,110,198,1303,570,565,392,717,410,658,400,2204,831,1543,567,2556,807,630,420,802,530,47,76,102,128,159,212,79,103,,217400,19547
0500000US06037,"Los Angeles County, California",1473521,8748,9233,1143,3098,735,2141,525,2603,794,2041,634,3491,748,3068,762,5910,938,5462,1016,3790,787,3866,986,3251,939,1972,567,9705,1420,7832,1221,9295,1080,9503,1380,40449,2781,59324,3596,226581,6346,262694,6101,405127,7643,168894,5020,106294,4095,47832,2966,70065,3854,,537900,4937
0500000US06039,"Madera County, California",26536,1669,156,151,86,143,0,206,0,206,105,171,93,164,54,91,128,152,262,250,332,368,243,230,403,402,533,339,737,406,1779,715,2003,692,1401,561,6986,1438,4601,909,3009,775,1666,560,888,343,410,346,528,408,36,64,97,111,,235400,7240
0500000US06041,"Marin County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974600,21121
0500000US06045,"Mendocino County, California",20107,1464,125,148,6,11,80,93,581,386,264,196,112,181,0,206,249,205,598,446,521,335,150,129,204,177,63,96,634,361,243,245,519,328,350,266,1468,560,2066,672,5371,933,2244,616,2970,732,737,380,317,222,175,156,60,100,,333900,17249
0500000US06047,"Merced County, California",40561,1936,711,323,542,365,371,227,349,258,189,170,57,84,88,103,672,458,320,297,247,220,574,361,1156,689,439,256,2436,705,2208,633,3629,924,2384,597,6248,1296,4978,1126,7477,1581,1869,539,2313,637,600,279,464,277,11,18,229,257,,231300,12311
0500000US06053,"Monterey County, California",61838,2623,887,592,152,194,82,134,61,106,95,92,166,165,37,60,253,171,95,115,186,188,248,192,0,206,0,206,520,272,309,171,574,304,473,255,2140,619,3744,1096,12796,1283,9999,1435,13262,1375,6766,1121,4704,851,2715,775,1574,480,,481000,16067
0500000US06055,"Napa County, California",31551,1478,376,235,30,49,12,21,184,277,45,51,167,167,0,206,0,206,465,429,57,67,133,166,127,133,169,189,325,225,43,73,424,314,283,224,857,413,376,216,3436,856,3610,789,11722,1293,4185,710,2075,524,685,261,1765,384,,599300,16853
0500000US06057,"Nevada County, California",28880,2043,181,150,149,168,327,354,67,106,0,206,80,98,368,413,32,57,0,206,230,181,157,258,265,267,145,188,578,334,459,303,203,177,306,255,1551,646,3334,997,7410,1391,4063,985,6199,986,1831,481,242,181,162,176,541,515,,381100,15286
0500000US06059,"Orange County, California",584632,7865,3531,717,969,421,819,419,1181,431,899,381,1415,573,818,344,1936,772,2711,690,1958,555,1352,497,2361,526,875,361,2811,603,2579,718,3867,866,3016,851,8903,1533,11318,1371,39623,2977,67071,3627,214290,5800,116320,4177,50809,3437,17433,1932,25767,2166,,654400,5030
0500000US06061,"Placer County, California",98999,3111,475,324,128,159,116,95,53,62,48,80,144,173,0,206,518,338,522,424,123,137,43,72,506,439,570,397,545,243,316,208,1317,670,738,389,3816,899,5460,1115,24987,1905,21470,1999,26764,1984,7035,1142,1760,551,691,303,854,375,,442300,8088
0500000US06065,"Riverside County, California",457220,6742,5663,953,2645,718,2581,610,3032,837,2700,801,1880,719,1321,417,2988,762,3191,831,3470,836,3672,984,3011,737,2767,541,10490,1427,9096,1379,17649,2023,13873,1669,46214,2766,57094,3553,119030,3746,68577,3657,53898,3123,12032,1429,4696,852,2198,661,3452,782,,329600,3536
0500000US06067,"Sacramento County, California",295227,4744,2600,666,588,357,1213,568,1446,507,819,397,808,414,303,208,2335,646,1766,610,1068,341,1069,484,1303,672,1380,463,5173,1008,5419,1046,11509,1676,11427,1625,35353,2582,41561,2847,76381,3305,41128,2584,37666,2435,8231,1158,2719,696,833,397,1129,349,,326800,3665
0500000US06071,"San Bernardino County, California",366237,5962,5214,1276,1627,593,2097,615,2002,632,1427,677,1818,575,1808,743,3950,907,2739,767,2898,651,3104,819,3714,784,3196,890,10896,1642,9437,1571,17991,1918,15298,1676,46158,3278,45671,3047,78314,4000,48846,3368,43712,2706,9501,1110,2650,734,561,297,1608,489,,302600,5689
0500000US06073,"San Diego County, California",578303,8387,3622,1005,1089,449,1226,520,1121,394,1507,667,1643,519,898,465,2956,755,2509,677,2747,619,2190,756,1950,657,1705,616,4710,988,3117,882,4753,955,3874,970,14852,2014,21496,2438,81829,4188,110273,4833,172680,5666,75189,3227,33864,2913,11462,1518,15041,1509,,527600,7901
0500000US06075,"San Francisco County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024000,24264
0500000US06077,"San Joaquin County, California",122916,3280,837,397,593,307,510,538,384,256,726,424,391,269,351,253,600,389,524,306,910,387,640,281,1102,465,1136,478,3661,851,2647,685,7895,1189,4401,845,14511,1623,14807,1840,30293,2527,17106,2022,13121,1561,3708,1056,1085,397,640,355,337,221,,316000,7561
0500000US06079,"San Luis Obispo County, California",66537,2785,356,238,141,147,151,151,297,392,58,98,167,194,172,268,497,359,214,150,193,198,227,193,98,129,344,321,548,363,240,206,445,245,352,246,1190,471,2299,758,8212,1360,12828,1868,22470,2254,8169,1139,4308,1140,1237,381,1324,513,,547200,22481
0500000US06081,"San Mateo County, California",155169,3835,949,472,194,146,134,138,28,45,26,43,60,72,72,87,73,122,284,270,264,232,212,176,499,372,256,194,889,384,125,104,351,222,506,378,614,287,331,208,1759,592,4256,909,25201,1996,40289,2725,31958,2235,21118,1859,24721,1740,,1002400,23351
0500000US06083,"Santa Barbara County, California",72634,2670,556,267,135,159,224,248,193,196,328,349,264,165,100,125,417,287,303,240,71,117,407,347,220,209,315,372,535,278,551,360,308,194,1492,474,3152,807,6151,1232,11924,1498,7543,1170,9026,1131,12279,1602,7156,1097,3161,776,5823,928,,531200,44383
0500000US06085,"Santa Clara County, California",358845,4616,2320,620,530,313,190,201,70,116,82,96,347,199,226,218,549,339,985,434,812,563,1017,408,1324,477,331,287,3303,708,1322,552,2180,718,1192,515,4346,1105,2319,656,7822,1227,12195,1756,78481,2807,81794,3671,75983,3266,35886,2501,43239,2251,,925700,8922
0500000US06087,"Santa Cruz County, California",56232,2964,252,165,0,206,87,145,62,104,135,171,151,176,0,206,208,162,301,275,208,165,87,102,333,292,57,91,645,363,219,222,189,126,334,308,1270,634,810,358,3005,774,6538,1299,15534,1663,13766,1624,7299,863,2617,700,2125,763,,712800,25398
0500000US06089,"Shasta County, California",47147,1769,812,388,533,310,172,148,185,188,146,123,374,299,240,221,198,171,246,146,326,294,587,337,339,275,548,292,1446,583,3466,762,4407,1141,3118,759,8649,1274,6029,1051,6704,1086,4084,873,2708,572,1138,500,433,255,229,323,30,49,,237200,6974
0500000US06095,"Solano County, California",88501,3096,514,264,37,62,198,269,195,197,216,156,191,135,244,184,235,165,659,354,132,135,302,341,604,514,201,209,840,305,1053,541,1945,724,1766,683,6202,1161,8930,1296,25407,2377,18132,1576,15472,1440,3506,782,970,468,178,136,372,248,,377900,7480
0500000US06097,"Sonoma County, California",114629,3594,1331,528,335,246,313,231,279,283,277,231,204,184,372,234,1046,475,863,438,1002,426,731,400,1505,757,654,462,806,397,454,290,759,364,760,425,2616,749,3084,727,10094,1451,19925,1703,37999,2776,16347,1412,6868,1233,2317,601,3688,771,,565200,12151
0500000US06099,"Stanislaus County, California",97945,3565,1292,607,515,390,566,271,830,364,355,272,323,215,535,437,527,307,192,220,350,249,428,289,537,404,535,329,2424,639,2739,757,5770,1231,5541,1036,16058,2093,19478,1977,23500,2092,7248,1383,4981,1021,1745,546,445,246,209,190,822,446,,274300,5445
0500000US06101,"Sutter County, California",16917,1448,158,147,255,202,40,67,210,171,330,253,0,206,55,70,47,80,101,118,121,128,123,182,246,146,33,56,621,314,843,411,1708,665,766,356,2584,622,2570,718,3650,710,900,398,1156,354,126,151,12,20,97,106,165,206,,254200,16234
